%<X-coord>,<Y-coord>,<Polarization>,<wavelength>,<type>,<deviceID>,<comment>
1748.05,287.35,TM,1550,TMBraggTest,TMBraggTest_80_500,L-600um-width-456nm-corr-50nm
1673.05,287.35,TM,1550,TMBraggTest,TMBraggTest_79_501,L-600um-width-456nm-corr-30nm
1941.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_25_502,L-200um-width-436nm-corr-80nm
1866.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_24_503,L-200um-width-436nm-corr-50nm
1791.75,1278.8,TM,1550,TMBraggTest,TMBraggTest_23_504,L-200um-width-436nm-corr-30nm
4512.05,285.5,TM,1550,TMBraggTest,TMBraggTest_75_546,L-600um-width-416nm-corr-110nm
4437.05,285.5,TM,1550,TMBraggTest,TMBraggTest_74_547,L-600um-width-416nm-corr-80nm
4362.05,285.5,TM,1550,TMBraggTest,TMBraggTest_73_548,L-600um-width-416nm-corr-50nm
4287.05,285.5,TM,1550,TMBraggTest,TMBraggTest_72_549,L-600um-width-416nm-corr-30nm
4212.05,285.5,TM,1550,TMBraggTest,TMBraggTest_71_550,L-600um-width-416nm-corr-0nm
4137.05,285.5,TM,1550,TMBraggTest,TMBraggTest_70_551,L-600um-width-436nm-corr-180nm
4062.05,285.5,TM,1550,TMBraggTest,TMBraggTest_69_552,L-600um-width-436nm-corr-150nm
3987.05,285.5,TM,1550,TMBraggTest,TMBraggTest_68_553,L-600um-width-436nm-corr-110nm
3912.05,285.5,TM,1550,TMBraggTest,TMBraggTest_67_554,L-600um-width-436nm-corr-80nm
3837.05,285.5,TM,1550,TMBraggTest,TMBraggTest_66_555,L-600um-width-436nm-corr-50nm
3762.05,285.5,TM,1550,TMBraggTest,TMBraggTest_65_556,L-600um-width-436nm-corr-30nm
3687.05,285.5,TM,1550,TMBraggTest,TMBraggTest_64_557,L-600um-width-436nm-corr-0nm
3612.05,285.5,TM,1550,TMBraggTest,TMBraggTest_63_558,L-400um-width-456nm-corr-180nm
3537.05,285.5,TM,1550,TMBraggTest,TMBraggTest_62_559,L-400um-width-456nm-corr-150nm
3462.05,285.5,TM,1550,TMBraggTest,TMBraggTest_61_560,L-400um-width-456nm-corr-110nm
4511.15,715.9,TM,1550,TMBraggTest,TMBraggTest_60_561,L-400um-width-456nm-corr-80nm
4436.15,715.9,TM,1550,TMBraggTest,TMBraggTest_59_562,L-400um-width-456nm-corr-50nm
4361.15,715.9,TM,1550,TMBraggTest,TMBraggTest_58_563,L-400um-width-456nm-corr-30nm
4286.15,715.9,TM,1550,TMBraggTest,TMBraggTest_57_564,L-400um-width-456nm-corr-0nm
4211.15,715.9,TM,1550,TMBraggTest,TMBraggTest_56_565,L-400um-width-416nm-corr-180nm
4136.15,715.9,TM,1550,TMBraggTest,TMBraggTest_55_566,L-400um-width-416nm-corr-150nm
4061.15,715.9,TM,1550,TMBraggTest,TMBraggTest_54_567,L-400um-width-416nm-corr-110nm
3986.15,715.9,TM,1550,TMBraggTest,TMBraggTest_53_568,L-400um-width-416nm-corr-80nm
3911.15,715.9,TM,1550,TMBraggTest,TMBraggTest_52_569,L-400um-width-416nm-corr-50nm
3836.15,715.9,TM,1550,TMBraggTest,TMBraggTest_51_570,L-400um-width-416nm-corr-30nm
3761.15,715.9,TM,1550,TMBraggTest,TMBraggTest_50_571,L-400um-width-416nm-corr-0nm
3686.15,715.9,TM,1550,TMBraggTest,TMBraggTest_49_572,L-400um-width-436nm-corr-180nm
3611.15,715.9,TM,1550,TMBraggTest,TMBraggTest_48_573,L-400um-width-436nm-corr-150nm
3536.15,715.9,TM,1550,TMBraggTest,TMBraggTest_47_574,L-400um-width-436nm-corr-110nm
3461.15,715.9,TM,1550,TMBraggTest,TMBraggTest_46_575,L-400um-width-436nm-corr-80nm
3629.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_45_576,L-400um-width-436nm-corr-50nm
3554.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_44_577,L-400um-width-436nm-corr-30nm
3479.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_43_578,L-400um-width-436nm-corr-0nm
3404.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_42_579,L-200um-width-456nm-corr-180nm
3329.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_41_580,L-200um-width-456nm-corr-150nm
3254.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_40_581,L-200um-width-456nm-corr-110nm
3179.65,1278.95,TM,1550,TMBraggTest,TMBraggTest_39_584,L-200um-width-456nm-corr-80nm
3176.9,6156.15,TM,1310,TMBraggTest,TMBraggTest_38_107,L-400um-width-345nm-corr-30nm
6251.65,5571.45,TE,1550,Xu,APGw505p324c28_1,no commment
6171.65,5571.45,TE,1550,Xu,APGw505p324c24_2,no commment
6091.65,5571.45,TE,1550,Xu,APGw505p324c22_3,no commment
6011.65,5571.45,TE,1550,Xu,APGw505p324c20_4,no commment
5931.65,5571.45,TE,1550,Xu,APGw505p324c18_5,no commment
5851.65,5571.45,TE,1550,Xu,APGw505p324c16_6,no commment
5771.65,5571.45,TE,1550,Xu,APGw505p324c14_7,no commment
5691.65,5571.45,TE,1550,Xu,APGw505p318c28_8,no commment
5611.65,5571.45,TE,1550,Xu,APGw505p318c24_9,no commment
